10/14/19 17:13:06.783 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 11] Slip Created: 98570000-7590-54ee-f125-08d750b0a209, CurrentState = Initial
10/14/19 17:13:14.628 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 12] Slip Completed: 98570000-7590-54ee-f125-08d750b0a209, CurrentState = Executing
10/14/19 17:30:08.928 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 15] Slip Created: 98570000-7590-54ee-7325-08d750b303c5, CurrentState = Initial
10/14/19 17:31:29.334 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 27] Slip Created: 98570000-7590-54ee-7d31-08d750b333b6, CurrentState = Initial
10/14/19 17:33:54.299 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 27] Slip Created: 98570000-7590-54ee-0659-08d750b38a1d, CurrentState = Initial
10/14/19 17:33:56.872 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 33] Slip Created: 98570000-7590-54ee-757f-08d750b38ba8, CurrentState = Initial
10/14/19 17:33:57.596 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 34] Slip Created: 98570000-7590-54ee-07e1-08d750b38c17, CurrentState = Initial
10/14/19 17:54:54.412 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 25] Slip Completed: 98570000-7590-54ee-7d31-08d750b333b6, CurrentState = Executing
10/14/19 17:54:54.571 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 16] Slip Completed: 98570000-7590-54ee-07e1-08d750b38c17, CurrentState = Executing
10/14/19 17:54:54.578 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 25] Slip Completed: 98570000-7590-54ee-7325-08d750b303c5, CurrentState = Executing
10/14/19 17:54:54.584 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 22] Slip Completed: 98570000-7590-54ee-0659-08d750b38a1d, CurrentState = Executing
10/14/19 17:54:54.590 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 28] Slip Completed: 98570000-7590-54ee-757f-08d750b38ba8, CurrentState = Executing
10/14/19 18:52:23.529 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 9] Slip Created: 98570000-7590-54ee-b2fc-08d750be80d7, CurrentState = Initial
10/14/19 18:52:31.353 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 29] Slip Completed: 98570000-7590-54ee-b2fc-08d750be80d7, CurrentState = Executing
10/18/19 23:38:41.167 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 26] Slip Created: 98570000-7590-54ee-2d20-08d7540b27d5, CurrentState = Initial
10/18/19 23:39:00.130 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 27] Slip Faulted: 98570000-7590-54ee-2d20-08d7540b27d5, CurrentState = Executing
10/18/19 23:56:27.640 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 10] Slip Created: 98570000-7590-54ee-c51d-08d7540da128, CurrentState = Initial
10/18/19 23:56:28.920 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 16] Slip Faulted: 98570000-7590-54ee-c51d-08d7540da128, CurrentState = Executing
11/22/19 10:54:52.112 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 16] Slip Created: 98570000-7590-54ee-8548-08d76f213704, CurrentState = Initial
11/22/19 10:55:16.145 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 11] Slip Faulted: 98570000-7590-54ee-8548-08d76f213704, CurrentState = Executing
11/22/19 10:56:12.978 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 5] Slip Created: 98570000-7590-54ee-5323-08d76f2171c5, CurrentState = Initial
11/22/19 11:25:25.251 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 9] Slip Faulted: 98570000-7590-54ee-5323-08d76f2171c5, CurrentState = Executing
11/22/19 11:26:04.822 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 12] Slip Created: 98570000-7590-54ee-2da4-08d76f259d9f, CurrentState = Initial
11/22/19 11:29:57.548 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 13] Slip Faulted: 98570000-7590-54ee-2da4-08d76f259d9f, CurrentState = Executing
11/22/19 11:30:26.237 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 7] Slip Created: 98570000-7590-54ee-91c7-08d76f26396d, CurrentState = Initial
11/22/19 11:31:44.272 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 7] Slip Faulted: 98570000-7590-54ee-91c7-08d76f26396d, CurrentState = Executing
11/22/19 11:36:17.766 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 10] Slip Created: 98570000-7590-54ee-058b-08d76f270a2c, CurrentState = Initial
11/22/19 11:36:40.270 [INF] [SampleCourier.TrackingService.Service.RoutingSlipStateMachine] [ThreadId: 9] Slip Completed: 98570000-7590-54ee-058b-08d76f270a2c, CurrentState = Executing
